name,summary,summary_web
Karen Young,Maryland State Senate - District 3,"Karen Young is a former American actress known for her work in film, television, and stage. Born on September 29, 1958, in Pequannock Township, New Jersey, she graduated from Douglass Residential College at Rutgers University with a degree in English. Young's career includes notable performances in various productions, although she is no longer active in public office or political roles. Her contributions to the entertainment industry have left a lasting impact, showcasing her talent across multiple platforms."
Joan Lovely,Massachusetts State Senate - Second Essex District (District 22),"Joan Lovely is a Democratic member of the Massachusetts Senate, representing the Second Essex district since 2013. Prior to her tenure in the Senate, she served on the Salem City Council from 1998 to 2012, including two terms as Council President in 2001 and 2012. In the Senate, she has focused on issues such as public health, education, and local economic development, contributing to various landmark bills aimed at improving community resources and infrastructure. Her legislative work reflects a commitment to enhancing the quality of life for her constituents in Massachusetts."
Michael Testa,New Jersey State Senate - District 1,"Michael Testa is a Republican member of the New Jersey Senate, representing the 1st Legislative District since January 2020. He previously served in the New Jersey General Assembly from 2018 to 2020. Testa has focused on issues such as tax reform, public safety, and economic development during his tenure. He has held leadership positions within the Senate, including serving on various committees that address key legislative priorities. Prior to his political career, Testa was involved in law and local government, contributing to his understanding of state-level governance."
Greg Gianforte,Montana Governor,"Greg Gianforte is the 25th governor of Montana, having taken office in 2021. A member of the Republican Party, he previously served as the U.S. representative for Montana's at-large congressional district from 2017 to 2021. During his time in Congress, Gianforte focused on issues such as healthcare, public lands, and economic development. He is also known for co-founding RightNow Technologies in 1997, a customer relationship management software company that significantly contributed to the tech industry. Gianforte's background in business and technology informs his approach to governance and policy-making in Montana."
Forrest Bennett,Oklahoma House of Representatives - District 92,"Forrest Bennett is a current member of the Oklahoma House of Representatives, representing District 92 as a member of the Democratic Party. He has been actively involved in various legislative efforts, focusing on issues such as healthcare, education, and criminal justice reform. Bennett has served on multiple committees, contributing to discussions and decisions that impact his constituents and the state. His leadership in the House reflects a commitment to addressing the needs of Oklahomans and advocating for progressive policies."
Charles Ryan,Van City Council,"Charles Ryan is a former elected official who served as the Director of the Arizona Department of Corrections. During his tenure, he focused on issues related to prison reform and inmate rehabilitation. Ryan's leadership was marked by efforts to improve the conditions within the state's correctional facilities and to address overcrowding challenges. Although he is no longer in office, his work in the corrections system has had a lasting impact on discussions surrounding criminal justice reform in Arizona."
DuWayne Gregory,Babylon Town Council,"DuWayne Gregory is a former member of the Suffolk County Legislature in New York, representing the 15th District as a Democrat. He served from 2014 until 2021, focusing on issues such as public safety, environmental protection, and economic development. During his tenure, Gregory held leadership positions, including serving as the Majority Leader, where he played a key role in advancing legislation related to community services and infrastructure improvements. His work aimed to address local concerns and enhance the quality of life for residents in Suffolk County."
Marvin Rainwater,Killeen Independent School Board - Place 4,"Marvin Rainwater (July 2, 1925 – September 17, 2013) was an American country and rockabilly singer and songwriter, best known for his hits in the late 1950s, including ""Whole Lotta Woman,"" which reached #1 on the UK Singles Chart. Rainwater, who claimed to have quarter-blood Cherokee ancestry, was recognized for his distinctive stage presence, often donning Native American fashion-themed outfits. Although he was primarily known for his musical contributions, his career spanned various genres and he left a lasting impact on the rockabilly scene. Rainwater's legacy continues to influence artists in the country and rockabilly genres."
Rob Rennie,Los Gatos Town Council,"Rob Rennie is a former elected official who served on the Santa Cruz City Council. He has been involved in local governance and community issues, focusing on sustainable development and public safety. During his tenure, Rennie worked on initiatives aimed at enhancing local infrastructure and promoting environmental conservation. His leadership roles included serving on various city committees, where he contributed to policy discussions affecting the Santa Cruz community. Although he is no longer in office, his impact on local governance continues to influence community discussions."
William Long,Mint Hill Town Council,"William Long is a former member of the Virginia House of Delegates, representing the 10th District as a member of the Republican Party. During his tenure, he focused on issues such as education reform and economic development. Long served on several committees, contributing to discussions on budgetary matters and public safety. Though he is no longer in office, his legislative efforts aimed to address the needs of his constituents in Virginia. His experience in local governance and community engagement has shaped his approach to public service."
